cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat,model_adi,modelin_tahmini,gercek_deger,durum
2,3,2,1,5,1,0,0,9,1,1,2,2,6,7,2,1,4,3,5,0,KNN,0,0,Dogru
5,3,2,0,2,1,0,1,0,1,0,1,1,6,6,2,1,0,7,4,0,KNN,1,1,Dogru
5,3,4,0,7,1,0,1,0,1,0,2,2,6,7,2,1,0,7,4,0,KNN,1,1,Dogru
2,0,3,0,2,1,0,0,3,0,1,1,1,0,6,2,1,2,1,4,4,KNN,1,1,Dogru
5,3,6,0,5,1,0,1,3,0,0,2,0,7,7,2,1,1,1,5,0,KNN,0,0,Dogru
2,3,2,0,2,1,0,1,0,1,0,1,2,6,7,2,1,0,7,4,0,KNN,1,1,Dogru
5,0,3,0,5,1,1,0,3,1,3,2,0,7,7,2,1,0,3,3,1,KNN,0,0,Dogru
5,0,8,1,3,1,1,1,5,1,1,2,2,7,7,2,1,4,3,4,0,KNN,1,0,Yanlis
5,0,3,1,5,1,0,0,7,1,1,2,2,7,3,2,1,4,3,4,0,KNN,0,0,Dogru
2,3,2,1,5,1,0,0,9,1,1,2,2,3,6,2,1,4,2,5,0,KNN,0,0,Dogru
0,2,9,1,0,1,0,0,4,0,2,2,2,7,7,2,1,4,2,2,3,KNN,0,0,Dogru
2,3,4,0,2,1,0,1,0,1,0,2,2,6,7,2,1,0,7,4,2,KNN,1,1,Dogru
2,3,2,0,8,1,0,1,0,1,0,2,1,6,6,2,1,0,7,4,4,KNN,1,1,Dogru
2,3,2,1,5,1,0,0,9,1,1,2,2,6,7,2,1,4,3,4,0,KNN,0,0,Dogru
5,0,3,0,2,1,0,0,2,0,1,1,1,0,6,2,1,2,1,4,1,KNN,1,1,Dogru
2,0,8,1,0,1,1,1,5,1,1,2,2,7,7,2,1,4,6,4,0,KNN,0,0,Dogru
5,3,3,0,2,1,0,0,7,0,1,1,1,0,0,2,1,2,1,5,0,KNN,1,1,Dogru
5,3,4,0,8,1,0,1,0,1,0,2,2,6,7,2,1,0,7,4,4,KNN,1,1,Dogru
5,2,3,1,2,1,0,0,7,1,1,0,0,7,7,2,1,4,1,3,5,KNN,1,1,Dogru
5,2,4,1,6,1,0,1,10,0,3,2,2,7,7,2,1,4,3,4,5,KNN,1,1,Dogru
5,0,3,0,2,1,0,0,2,0,1,1,1,6,4,2,1,2,1,5,0,KNN,1,1,Dogru
5,2,0,1,2,1,0,0,10,1,1,0,2,7,7,2,1,4,1,4,1,KNN,1,1,Dogru
5,0,3,0,1,1,0,1,5,0,1,2,2,7,7,2,1,4,3,4,0,KNN,1,1,Dogru
2,3,2,1,5,1,0,0,10,1,1,2,2,3,3,2,1,4,3,4,0,KNN,0,0,Dogru
5,3,4,1,5,1,0,0,10,1,1,2,2,7,7,2,1,4,3,4,0,KNN,0,0,Dogru
2,2,4,0,5,1,1,0,4,1,3,2,2,7,7,2,1,0,2,3,1,KNN,0,0,Dogru
5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,2,1,4,2,3,1,KNN,1,1,Dogru
5,3,9,0,2,1,0,0,2,0,1,1,1,4,4,2,1,2,1,5,4,KNN,1,1,Dogru
3,3,4,0,7,1,0,1,0,1,0,2,2,7,7,2,1,0,7,4,0,KNN,1,1,Dogru
3,2,2,0,7,1,0,1,0,1,0,2,1,7,6,2,1,0,7,4,0,KNN,1,1,Dogru
5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,2,1,4,2,2,3,KNN,0,0,Dogru
5,0,2,1,5,1,0,0,10,1,1,2,2,6,6,2,1,4,3,4,0,KNN,0,0,Dogru
5,2,8,1,3,1,0,0,10,0,2,2,2,7,7,2,1,4,3,3,3,KNN,0,0,Dogru
5,2,2,0,2,1,0,1,0,1,0,2,1,7,6,2,1,0,7,4,2,KNN,1,1,Dogru
2,0,3,0,2,1,0,0,2,0,1,1,1,6,4,2,1,2,1,4,0,KNN,1,1,Dogru
0,2,9,1,3,1,0,0,5,0,2,2,2,7,7,2,1,4,2,2,1,KNN,0,0,Dogru
2,3,4,1,5,1,0,0,7,1,1,2,2,3,7,2,1,4,3,4,0,KNN,0,0,Dogru
5,2,4,0,5,1,1,0,7,1,3,2,0,7,7,2,1,0,3,3,1,KNN,0,0,Dogru
5,3,8,1,3,1,0,0,4,0,2,2,2,7,7,2,1,4,2,3,1,KNN,0,0,Dogru
5,2,3,0,5,1,1,0,4,1,3,2,0,7,7,2,1,0,2,3,1,KNN,0,0,Dogru
2,2,3,0,5,1,1,0,4,1,3,2,2,7,7,2,1,0,2,0,1,KNN,0,0,Dogru
5,2,8,1,2,1,0,0,7,1,1,0,2,7,7,2,1,4,1,4,5,KNN,1,1,Dogru
2,2,4,0,8,1,0,1,0,1,0,2,2,7,7,2,1,0,7,4,4,KNN,1,1,Dogru
2,2,8,1,2,1,0,0,10,1,1,0,2,7,7,2,1,4,1,3,5,KNN,1,1,Dogru
3,2,2,0,7,1,0,1,0,1,0,1,2,7,6,2,1,0,7,4,4,KNN,1,1,Dogru
5,3,4,0,8,1,0,1,0,1,0,1,1,7,7,2,1,0,7,4,0,KNN,1,1,Dogru
2,0,3,0,2,1,0,0,2,0,1,1,1,0,0,2,1,2,1,5,4,KNN,1,1,Dogru
2,2,8,1,2,1,0,0,10,1,1,2,0,7,7,2,1,4,1,4,5,KNN,1,1,Dogru
5,0,9,1,3,1,1,1,7,1,1,2,2,7,7,2,1,4,3,4,0,KNN,0,0,Dogru
2,2,4,0,5,1,1,0,5,1,3,2,0,7,7,2,1,0,3,0,1,KNN,0,0,Dogru
2,3,2,0,7,1,0,1,0,1,0,2,1,6,6,2,1,0,7,4,0,KNN,1,1,Dogru
2,0,9,0,2,1,0,0,3,0,1,1,1,0,6,2,1,2,1,5,4,KNN,1,1,Dogru
5,3,4,1,6,1,0,1,7,0,3,2,2,7,7,2,1,4,3,4,1,KNN,1,1,Dogru
5,2,3,0,5,1,1,0,7,1,3,2,0,7,7,2,1,0,3,0,1,KNN,0,0,Dogru
5,2,8,1,3,1,0,0,4,0,2,2,2,7,7,2,1,4,3,3,1,KNN,0,0,Dogru
5,0,4,1,5,1,0,0,9,1,1,2,2,7,3,2,1,4,3,5,0,KNN,0,0,Dogru
3,3,2,0,8,1,0,1,0,1,0,2,1,7,6,2,1,0,7,4,2,KNN,1,1,Dogru
3,2,4,0,2,1,0,1,0,1,0,1,2,6,6,2,1,0,7,4,2,KNN,1,1,Dogru
2,0,8,0,5,1,1,0,7,1,3,2,0,7,7,2,1,0,2,0,1,KNN,0,0,Dogru
5,2,3,1,2,1,0,0,7,1,1,0,2,7,7,2,1,4,1,4,5,KNN,1,1,Dogru
2,2,4,0,7,1,0,1,0,1,0,2,1,7,7,2,1,0,7,4,2,KNN,1,1,Dogru
3,0,1,0,5,1,1,1,10,0,1,2,2,7,4,2,1,0,7,4,2,KNN,0,0,Dogru
2,3,2,1,5,1,0,0,7,1,1,2,2,7,6,2,1,4,2,5,0,KNN,0,0,Dogru
5,2,8,1,6,1,0,1,10,0,3,2,2,7,7,2,1,4,2,3,1,KNN,1,1,Dogru
5,0,3,0,2,1,0,0,3,0,1,1,1,0,0,2,1,2,1,4,1,KNN,1,1,Dogru
2,0,9,0,2,1,0,0,3,0,1,1,1,0,4,2,1,2,1,5,1,KNN,1,1,Dogru
2,0,3,0,2,1,0,0,2,0,1,1,1,6,4,2,1,2,1,4,1,KNN,1,1,Dogru
5,0,3,1,5,1,0,0,9,1,1,2,2,6,6,2,1,4,3,5,0,KNN,0,0,Dogru
5,0,8,0,5,1,1,0,3,1,3,2,0,7,7,2,1,0,2,0,1,KNN,0,0,Dogru
5,3,9,0,2,1,0,0,3,0,1,1,1,6,0,2,1,2,1,4,1,KNN,1,1,Dogru
0,3,9,1,3,1,0,0,2,0,2,2,2,7,7,2,1,4,2,3,3,KNN,0,0,Dogru
5,3,2,0,2,1,0,1,0,1,0,1,2,6,6,2,1,0,7,4,0,KNN,1,1,Dogru
3,0,8,0,5,1,1,0,2,0,0,1,1,7,7,2,2,4,7,3,1,KNN,0,0,Dogru
2,3,3,0,2,1,0,0,7,0,1,1,1,4,0,2,1,2,1,4,4,KNN,1,1,Dogru
5,0,9,0,2,1,0,0,3,0,1,1,1,4,0,2,1,2,1,5,4,KNN,1,1,Dogru
2,3,9,0,2,1,0,0,3,0,1,1,1,4,0,2,1,2,1,4,1,KNN,1,1,Dogru
5,2,5,0,1,1,1,1,7,0,1,2,2,7,7,2,1,4,3,4,0,KNN,1,1,Dogru
5,2,4,0,5,1,1,0,3,1,3,2,0,7,7,2,1,0,2,0,1,KNN,0,0,Dogru
2,0,3,1,5,1,0,0,7,1,1,2,2,3,6,2,1,4,2,5,0,KNN,0,0,Dogru
5,0,2,1,5,1,0,0,9,1,1,2,2,6,7,2,1,4,3,5,0,KNN,0,0,Dogru
2,3,4,1,5,1,0,0,10,1,1,2,2,7,6,2,1,4,3,5,0,KNN,0,0,Dogru
5,2,2,0,8,1,0,1,0,1,0,1,2,6,6,2,1,0,7,4,4,KNN,1,1,Dogru
2,3,4,1,5,1,0,0,7,1,1,2,2,7,7,2,1,4,3,4,0,KNN,0,0,Dogru
3,2,4,0,8,1,0,1,0,1,0,2,2,6,7,2,1,0,7,4,4,KNN,1,1,Dogru
5,0,3,1,5,1,0,0,9,1,1,2,2,7,7,2,1,4,3,5,0,KNN,0,0,Dogru
2,2,4,0,5,1,1,0,3,1,3,0,2,7,7,2,1,0,3,3,1,KNN,0,0,Dogru
0,2,9,1,3,1,0,0,10,0,2,2,2,7,7,2,1,4,2,3,3,KNN,0,0,Dogru
5,0,3,1,5,1,0,0,7,1,1,2,2,3,3,2,1,4,3,5,0,KNN,0,0,Dogru
5,2,4,0,2,1,0,1,0,1,0,2,1,7,7,2,1,0,7,4,0,KNN,1,1,Dogru
2,0,4,1,5,1,0,0,7,1,1,2,2,7,7,2,1,4,3,5,0,KNN,0,0,Dogru
5,3,2,1,5,1,0,0,7,1,1,2,2,3,3,2,1,4,3,5,0,KNN,0,0,Dogru
5,3,2,0,4,1,0,0,11,0,2,1,3,1,1,2,0,3,7,1,0,KNN,1,1,Dogru
2,0,4,1,5,1,0,0,10,1,1,2,2,7,6,2,1,4,3,4,0,KNN,0,0,Dogru
2,3,2,1,5,1,0,0,7,1,1,2,2,7,6,2,1,4,2,4,0,KNN,0,0,Dogru
3,2,4,0,2,1,0,1,0,1,0,1,2,7,6,2,1,0,7,4,0,KNN,1,1,Dogru
3,3,2,0,2,1,0,1,0,1,0,1,2,6,6,2,1,0,7,4,0,KNN,1,1,Dogru
5,0,1,0,5,1,1,1,10,0,1,0,0,7,4,2,1,0,7,4,2,KNN,0,0,Dogru
2,3,4,1,5,1,0,0,5,1,1,2,2,7,6,2,1,4,3,5,0,KNN,0,0,Dogru
5,3,4,0,2,1,0,1,0,1,0,2,1,6,6,2,1,0,7,4,0,KNN,1,1,Dogru
2,3,3,1,5,1,0,0,7,1,1,2,2,3,6,2,1,4,2,5,0,KNN,0,0,Dogru
2,0,4,1,5,1,0,0,7,1,1,2,2,6,6,2,1,4,3,5,0,KNN,0,0,Dogru
5,3,5,1,5,1,0,0,1,0,0,2,2,7,7,2,2,0,7,1,6,KNN,0,0,Dogru
0,2,4,0,5,0,0,0,6,0,0,2,2,5,5,1,1,4,0,4,2,KNN,0,0,Dogru
2,3,9,0,2,1,0,0,2,0,1,1,1,6,0,2,1,2,1,5,0,KNN,1,1,Dogru
2,3,2,1,5,1,0,0,9,1,1,2,2,7,7,2,1,4,3,4,0,KNN,0,0,Dogru
0,2,9,1,3,1,0,0,4,0,2,2,2,7,7,2,1,4,2,3,1,KNN,0,0,Dogru
5,0,9,1,0,1,1,1,10,1,1,2,2,7,7,2,1,4,6,4,0,KNN,0,0,Dogru
2,3,4,1,5,1,0,0,7,1,1,2,2,7,6,2,1,4,3,5,0,KNN,0,0,Dogru
2,3,2,0,2,1,0,1,0,1,0,1,1,6,7,2,1,0,7,4,2,KNN,1,1,Dogru
2,2,8,1,2,1,0,0,10,1,1,0,0,7,7,2,1,4,1,4,5,KNN,1,1,Dogru
2,3,3,1,5,1,0,0,10,1,1,2,2,6,6,2,1,4,2,5,0,KNN,0,0,Dogru
5,0,3,0,5,1,1,0,5,1,3,0,2,7,7,2,1,0,3,0,1,KNN,0,0,Dogru
2,2,8,1,6,1,0,1,5,0,3,2,2,7,7,2,1,4,3,4,5,KNN,1,1,Dogru
0,2,8,1,3,1,0,0,4,0,2,2,2,7,7,2,1,4,2,2,3,KNN,0,0,Dogru
5,3,4,0,2,1,0,1,0,1,0,1,2,6,6,2,1,0,7,4,2,KNN,1,1,Dogru
5,0,4,1,5,1,0,0,10,1,1,2,2,3,6,2,1,4,2,4,0,KNN,0,0,Dogru
2,3,3,0,2,1,0,0,2,0,1,1,1,0,4,2,1,2,1,4,0,KNN,1,1,Dogru
2,3,3,0,2,1,0,0,3,0,1,1,1,0,6,2,1,2,1,5,1,KNN,1,1,Dogru
2,0,3,1,5,1,0,0,10,1,1,2,2,7,7,2,1,4,2,4,0,KNN,0,0,Dogru
2,3,4,1,0,1,0,0,7,0,4,2,3,7,7,2,1,4,3,5,1,KNN,0,0,Dogru
2,2,3,0,5,1,1,0,7,1,3,2,0,7,7,2,1,0,2,3,1,KNN,0,0,Dogru
2,3,3,0,2,1,0,0,3,0,1,1,1,0,4,2,1,2,1,5,0,KNN,1,1,Dogru
2,2,4,0,5,1,1,0,4,1,3,2,2,7,7,2,1,0,2,0,1,KNN,0,0,Dogru
3,2,2,0,7,1,0,1,0,1,0,2,2,7,7,2,1,0,7,4,0,KNN,1,1,Dogru
2,3,4,0,8,1,0,1,0,1,0,2,2,7,6,2,1,0,7,4,4,KNN,1,1,Dogru
2,0,3,0,2,1,0,0,7,0,1,1,1,0,4,2,1,2,1,4,1,KNN,1,1,Dogru
0,3,8,1,0,1,0,0,4,0,2,2,2,7,7,2,1,4,2,2,1,KNN,0,0,Dogru
2,3,3,1,5,1,0,0,10,0,1,2,2,7,7,2,2,4,7,4,4,KNN,0,0,Dogru
5,3,3,0,2,1,0,0,2,0,1,1,1,6,0,2,1,2,1,5,0,KNN,1,1,Dogru
2,0,2,1,5,1,0,0,5,1,1,2,2,7,7,2,1,4,3,4,0,KNN,0,0,Dogru
5,3,3,1,5,1,0,0,10,1,1,2,2,6,7,2,1,4,3,4,0,KNN,0,0,Dogru
2,0,4,0,5,1,0,1,5,0,3,2,2,7,7,2,1,4,3,4,5,KNN,0,0,Dogru
2,0,2,1,5,1,0,0,10,1,1,2,2,7,3,2,1,4,3,5,0,KNN,0,0,Dogru
2,0,3,0,5,1,1,0,4,1,3,0,0,7,7,2,1,0,3,0,1,KNN,0,0,Dogru
2,2,4,0,5,0,0,0,6,0,0,2,2,5,5,0,1,4,0,4,2,KNN,0,0,Dogru
2,2,2,0,2,1,0,1,0,1,0,2,1,6,6,2,1,0,7,4,4,KNN,1,1,Dogru
2,3,4,0,2,1,0,1,0,1,0,1,2,7,7,2,1,0,7,4,0,KNN,1,1,Dogru
2,3,4,0,4,0,0,0,10,0,2,1,3,1,1,2,0,3,7,1,0,KNN,1,1,Dogru
0,0,8,0,5,1,1,0,7,0,0,1,2,7,7,2,2,4,7,3,1,KNN,0,0,Dogru
2,0,3,1,5,1,0,0,10,1,1,2,2,6,3,2,1,4,3,4,0,KNN,0,0,Dogru
2,0,3,0,5,1,1,0,4,1,3,0,2,7,7,2,1,0,3,3,1,KNN,0,0,Dogru
5,3,9,1,0,1,0,0,5,0,4,2,3,7,7,2,1,4,3,3,1,KNN,0,0,Dogru
5,3,9,0,2,1,0,0,2,0,1,1,1,6,4,2,1,2,1,4,4,KNN,1,1,Dogru
2,3,2,1,5,1,0,0,5,1,1,2,2,3,6,2,1,4,3,5,0,KNN,0,0,Dogru
0,2,8,1,0,1,0,0,5,0,2,2,2,7,7,2,1,4,2,2,3,KNN,0,0,Dogru
5,0,9,0,2,1,0,0,2,0,1,1,1,6,4,2,1,2,1,5,0,KNN,1,1,Dogru
5,2,3,1,2,1,0,0,7,1,1,2,2,7,7,2,1,4,1,3,5,KNN,1,1,Dogru
2,0,4,1,5,1,0,0,5,1,1,2,2,3,6,2,1,4,2,5,0,KNN,0,0,Dogru
5,2,4,0,2,1,0,1,0,1,0,2,2,7,7,2,1,0,7,4,2,KNN,1,1,Dogru
5,2,2,0,2,1,0,1,0,1,0,1,1,6,6,2,1,0,7,4,2,KNN,1,1,Dogru
2,3,2,1,5,1,0,0,9,1,1,2,2,3,6,2,1,4,2,4,0,KNN,0,0,Dogru
5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,2,1,4,2,2,1,KNN,0,0,Dogru
5,3,8,1,0,1,0,0,5,0,2,2,2,7,7,2,1,4,3,3,3,KNN,0,0,Dogru
2,0,3,0,2,1,0,0,2,0,1,1,1,6,0,2,1,2,1,4,4,KNN,1,1,Dogru
0,3,8,1,0,1,0,0,10,0,2,2,2,7,7,2,1,4,3,2,3,KNN,0,0,Dogru
